"","ID","site","location","landscape","replicate","bbspecies","bborgan","kingdom","phylum","order","family","genus","species","plant.species","Abundance","binom.abund","native_exotic","pollination_mode","Flowering_months_duration","start_flowering","growth_form_category","plant_height_m","reference","inflorescence","structural_blossom_class","symmetry","nectar","pollen","oil","sugar.concentration","growth_form_numeric","structural_blossom_numeric","symmetry_numeric"
"20","19_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995479408706659,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"21","32_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995469234100676,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"22","27_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994852751412267,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"23","34_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99465780159439,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"24","23_ZHUB_pL","ZHUB","ZH","U","B","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994613592084654,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"25","10_BEUA_pL","BEUA","BE","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994441507680971,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"26","10_1_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994415682624629,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"27","02_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994303660385532,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"28","08_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994286923402455,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"29","05_2_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.994053229830884,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"30","20_BERD_pL_F5","BERD","BE","R","D","B.pascuorum","L_F5","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993948469932611,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"31","39_BSUB_pL","BSUB","BS","U","B","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993916826929634,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"32","29_BSRD_pB","BSRD","BS","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993796448894555,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"33","35_ZHRF_pL","ZHRF","ZH","R","F","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993702175221391,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"34","11_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993552210927117,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"35","21_ZHUB_pL","ZHUB","ZH","U","B","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993460838782634,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"36","08_2_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993380589073463,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"37","26_BEUA_pL","BEUA","BE","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99335735194776,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"38","14_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993289710890031,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"39","15_ZHUB_lL","ZHUB","ZH","U","B","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99327328840461,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"40","13_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993226671229751,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"41","07_2_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993212626789269,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"42","23_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993204295855834,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"43","15_BSRE_pL","BSRE","BS","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993158438745878,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"44","06_ZHRF_pB","ZHRF","ZH","R","F","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.993093410200063,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"45","32_BSUA_pB","BSUA","BS","U","A","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992991426236066,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"46","05_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992975789503987,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"47","23_ZHUA_pL","ZHUA","ZH","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992960658543856,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"48","16_BEUC_pB","BEUC","BE","U","C","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992942178595331,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"49","05_1_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992820285805193,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"50","18_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992513940875411,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"51","21_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992388491398995,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"52","25_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992290726197102,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"53","04_ZHRE_pB","ZHRE","ZH","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992230700318186,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"54","32_ZHRF_pB","ZHRF","ZH","R","F","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992162039519822,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"55","09_BSRD_lB","BSRD","BS","R","D","B.lapidarius","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99215216575198,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"56","30_BSRD_pB","BSRD","BS","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.992021995136913,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"57","11_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991970100047331,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"58","01_ZHUC_pB","ZHUC","ZH","U","C","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991968374356039,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"59","24_BSRE_pB","BSRE","BS","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991914618369987,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"60","22_ZHUA_pL","ZHUA","ZH","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991815892557359,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"61","11_1_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991562568485645,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"62","02_BEUC_pL","BEUC","BE","U","C","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991522852604715,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"63","26_BSRE_pL_E5","BSRE","BS","R","E","B.pascuorum","L_E5","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991439885415789,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"64","01_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991387292325431,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"65","04_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991338019407813,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"66","05_BSRE_pL","BSRE","BS","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991233016242565,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"67","01_1_BERD_lB","BERD","BE","R","D","B.lapidarius","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991229562423211,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"68","26_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991129813885583,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"69","29_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991056079037277,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"70","28_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.991005762679487,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"71","02_ZHUB_lL","ZHUB","ZH","U","B","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","repens","Trifolium repens",0.990921470721743,1,"N","biotic",5,5,"herb",0.15,NA,"1","flag","sigomorph",1,1,0,44.5875,1,1,1
"72","19_ZHUB_lL","ZHUB","ZH","U","B","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","repens","Trifolium repens",0.990906860490079,1,"N","biotic",5,5,"herb",0.15,NA,"1","flag","sigomorph",1,1,0,44.5875,1,1,1
"73","33_ZHRE_pB","ZHRE","ZH","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990864705782284,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"74","11_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990846323860191,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"75","31_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990844198934663,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"76","14_ZHRE_pB","ZHRE","ZH","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990844098833563,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"77","36_BSUA_pB","BSUA","BS","U","A","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99055678194751,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"78","22_BSRE_pL","BSRE","BS","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99054848009342,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"79","12_BSUA_pL","BSUA","BS","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Lamiales","Lamiaceae","Salvia","farinacea","Salvia farinacea",0.990533995848796,1,"E","biotic",6,5,"herb",1,NA,"1","gullet","sigomorph",1,1,0,NA,1,2,1
"80","32_BSRD_pB","BSRD","BS","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990337934316992,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"81","06_ZHRE_pB","ZHRE","ZH","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99031857794194,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"82","36_BSUA_pL","BSUA","BS","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990318239048322,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"83","11_1_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990309657077566,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"84","33_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990254170090682,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"85","38_BSUB_pL","BSUB","BS","U","B","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990198376339733,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"86","12_ZHUC_lL","ZHUC","ZH","U","C","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","repens","Trifolium repens",0.990175174547431,1,"N","biotic",5,5,"herb",0.15,NA,"1","flag","sigomorph",1,1,0,44.5875,1,1,1
"87","09_1_BERD_pB","BERD","BE","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990134110787172,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"88","03_BSUA_pL","BSUA","BS","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990063203433941,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"89","12_BSRE_pB","BSRE","BS","R","E","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99005541158376,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"90","20_ZHRF_pL","ZHRF","ZH","R","F","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990051663037445,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"91","15_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.990044187442038,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"92","06_BSUB_lL","BSUB","BS","U","B","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","repens","Trifolium repens",0.989938546812869,1,"N","biotic",5,5,"herb",0.15,NA,"1","flag","sigomorph",1,1,0,44.5875,1,1,1
"93","21_BEUA_pL","BEUA","BE","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.98993531320396,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"94","08_ZHUC_pB","ZHUC","ZH","U","C","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.989706297087144,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"95","18_ZHRF_pB","ZHRF","ZH","R","F","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.989678616745261,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"96","14_ZHRF_pB","ZHRF","ZH","R","F","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.989513090638574,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
